simp,trad,memo,sample
划,劃 畫 划,“划”讀音hua2，意義爲“撥水前進”、“合算”。“劃”讀作hua2時，意義爲“戳傷”，讀作hua4是意義爲“分界”、“設計”。“畫”基本意義爲“繪畫”。,劃分 劃破 圖畫 畫押 划船 划算
卤,滷 鹵,“滷”特別作爲一種烹調方法，“鹵”用作其他意義或化學元素。,滷汁 滷肉 鹵素
历,歷 曆,“日曆”作“曆”，與歷史有關用“歷”。,萬年曆 歷史
发,發 髮,與毛髮有關用“髮”，其餘意義爲“發”。,發財 發送 頭髮 令人髮指
只,只 隻,“隻”用作量詞，“只”爲副詞“僅”。,船隻 隻言片語 只有 僅只
台,臺 檯 颱 台,與“平地”有關用“臺”，與“櫃檯”有關用“檯”，與“颱風”有關用“颱”。“台”爲罕用字。,看臺 高臺 電視臺 寫字檯 颱風 兄台 天台山 五臺山 臺灣
后,後 后,與“帝王”、“帝王配偶”有關用“后”，與“時間先後”有關用“後”。,皇后 以後
坛,壇 罈,“罈”爲一種容器，其餘意義爲“壇”。,祭壇 論壇 罈子 酒罈
复,復 複 覆,表示重疊意義用“複”，表示往返意義用“復”，表示“翻倒”、“遮蓋”用“覆”。,複製 重複 反復 恢復 覆蓋 傾覆 翻雲覆雨 反覆無常
尽,盡 儘,“儘”用於“放開”、“最大限度”之意。其餘用“盡”。,儘管 儘量 極盡 自盡 盡頭
干,幹 乾 干 榦,“干”本意爲盾牌，意義與武器有關。“乾”意義爲“水分少”。“幹”意義爲“主幹”或爲動詞。“榦”特別用於“樹榦”。,干戈 干涉 干擾 干預 乾燥 乾貨 骨幹 幹部 幹活 樹榦 版榦
并,並 併,“併”特比用於“合併”之義，其餘一般作“並”。,並且 兼併 吞併
当,當 噹,“噹”用於擬聲詞，其餘用“當”。,叮噹 噹啷 當然 當年 應當
志,志 誌,與記錄有關用“誌”，其餘用“志”。,志向 志氣 雜誌 日誌
汇,匯 彙,“彙”爲“相同種類聚集成的東西”，“匯”傾向於“水流匯合”一動作。,辭彙 彙編 彙報 匯合 匯款
系,係 系 繫,“係”強調“關係”，“系”爲一個整體，“繫”與連接有關。,系統 係數 干係 關係 聯繫 維繫 繫鞋帶
脏,髒 臟,“臟”讀音zang4，意義爲“身體器官”，“髒”讀音zang1，意義爲“不乾淨”。,內臟 骯髒
荡,蕩 盪,與“洗滌”、“搖動”有掛用“盪”，其餘用“蕩”。,盪漾 盪滌 動盪 掃蕩 放蕩 蕩然無存 蕩氣迴腸
获,獲 穫,“獲”一般用於動詞，“穫”一般用於名詞。,不勞而獲 獲益 收穫
采,採 采,“採”用於動詞，其餘用“采”。,採集 博採眾長 丰采 神采奕奕
里,里 裏,“裏”與“外”相對，其餘用“里”。,里程 故里 裏外
钟,鍾 鐘,“鍾”意義爲聚集，“鐘”爲一種樂器。,鍾情 鍾愛 鐘鼓 掩耳盜鐘
饥,飢 饑,“飢”意義爲“吃不飽”，“饑”意義爲“穀物不熟”。,飢餓 饑荒 饑饉
丰,豐 丰,表示“美好的容貌的姿態”用“丰”，其餘一般爲“豐”。,丰采 丰姿 豐富 五穀豐登 張三丰
丑,醜 丑,“丑”用於十二地支和戲角色，“醜”爲“不美”。,小丑 丑角 辛丑條約 醜陋 醜惡
了,了 瞭,“了”意義爲“完畢”、“完全”。“瞭”讀作liao3時意義爲“明白”、“清楚”，讀作liao4時意義爲“遠看”。,不了了之 了無牽掛 明瞭 瞭解 一目瞭然 瞭望
借,借 藉,“依賴、假借、草墊”之意用“藉”，其餘一般用“借”。（習慣用法區別）,慰藉 藉口 憑藉 借住 借題發揮 借刀殺人
克,克 剋,與“戰勝”、“約束”、“傷害”有關意義用“剋”，其餘用“克”。,克服 以柔克剛 千克 攻剋 剋扣 剋夫
准,準 准,“准”只用於“允許”意義，其餘用“準”。,准許 不准 準備 標準
刮,刮 颳,“吹襲”用“颳”，其餘用“刮”。,颳風 冰前颳雪 刮鬍子 刮痧 耳刮子
制,制 製,“製”只用於“製作”相關意義，其餘用“制”。,制度 控制 製作
吁,籲 吁,“呼喊﹑請求”用“籲”，讀音yu4，“歎氣”用“吁”，讀音xu1。,長吁短歎 呼籲 籲請
吊,吊 弔,“弔”只用於“祭奠死者”相關意義，其餘用“吊”。,吊車 上吊 弔唁 弔喪
团,團 糰,與“食品”有關用“糰”，其餘用團。,飯糰 糯米糰 團體 社團
困,困 睏,“睏”特指“瞌睡”，其餘用“困”。,困擾 困局 貧困 睏意 睏倦
布,佈 布,“布”爲“紡織品”，其餘用“佈”。,棉布 發佈 佈置 擺佈 遍佈
御,御 禦,與“抵抗”有關用“禦”，其餘用“御”。,御馬 御用 防禦 抵禦
斗,鬭 斗,“斗”爲一種容積計量單位，“鬭”表示“鬭爭”之意。,五斗米 車載斗量 鬭爭 戰鬭
曲,曲 麯,“麯”與釀酒有關，其餘用“曲”。,樂曲 曲直 酒麯 大麯
松,鬆 松,“松”爲一種樹木名詞，“鬆”與“緊”相對、,松樹 雪松 輕鬆 肉鬆
淀,澱 淀,“淀”之意義爲“淺水”，其餘用“澱”。,澱粉 沉澱 海淀區 白洋淀
纤,纖 縴,表示“細小”用“纖”，讀作xian1。表示拉船用“縴”，讀作qian4。,纖維 光纖 縴夫
致,致 緻,與“細密”、“意趣”有關用“緻”，其餘用致。,導致 致敬 精緻 緻密 別緻 雅緻
蔑,蔑 衊,表示“血污”、“誹謗”用“衊”，其餘意義用“蔑”。,輕蔑 蔑視 誣衊
仇,仇 讎,與“校對”有關用“讎”，其餘用“仇”。,仇恨 報仇 讎校 仇讎
冬,冬 鼕,“鼕”爲鼓聲擬聲詞，其餘用“冬”。,隆冬 冬暖夏涼  鼕鼕
咸,咸 鹹,“鹹”意義與“淡”相對，其餘用“咸”。,老少咸宜 鹹淡
云,雲 云,“云”意義爲“說”，其餘用“雲”。,人云亦云 雲霧
仆,僕 仆,“仆”意義爲“跌倒”，讀音pu1，“僕”爲“供人使喚的人”，讀音pu2。,前仆後繼 仆街 奴僕 公僕 風塵僕僕
舍,舍 捨,“捨”讀作she3，用於“放棄”意義，其餘用“舍”，讀作she4，古文亦同“捨”。,宿舍 村舍 退避三舍 捨弃 舍我其誰 不舍晝夜
签,籖 簽,“簽”用於動詞，表示“題字題名”，其餘用“籤”。,簽名 簽證 標籤 書籤 牙籤
折,折 摺,與“叠”有關用“摺”，與“斷”有關用“折”。,摺紙 摺扇 存摺 折斷 折腰 折服 打折 損兵折將
谷,谷 穀,表示“兩山之間”的地域用“谷”，表示農作物時用“穀”。,山谷 稻穀
几,幾 几,“几”只用作“茶几”。表示“幾乎”、“幾個”意義用“幾”。,茶几 幾乎 幾個
辟,闢 辟,“闢”用於“開墾”、“駁斥”意義。其餘用“辟”。,開闢 闢謠 另闢蹊徑 精闢 辟邪 鞭辟入裏
奸,奸 姦,“姦”只用於淫亂之意，其餘用“奸”。,漢奸 狼狽爲奸 強姦
游,遊 游,“游”與“水”有關，其餘用“遊”。,游泳 上游 遊戲 遊蕩
佣,傭 佣,“傭”爲“僕役”，讀音yong1，“佣”爲“中間人”，讀音yong4。,傭人 雇傭 傭兵 佣金
苏,蘇 囌 甦,“甦”與“醒”、“恢復”有關，“囌”用於“嚕囌”（囉唆），其餘用“蘇”。,甦醒 甦生 復甦 嚕囌 蘇州 屠蘇 蘇俄
回,回 迴,與“旋轉”、“返迴”有關用“迴”，其餘用“回”。,迴合 迴光返照 迴旋 迴避 回答 回族 回絕
面,面 麪,“面”意義爲“臉”、“外表”，“麪”爲小麥磨成的粉。,臉面 麪條 麪粉
向,向 嚮 曏,“曏”表示“從前”，“嚮”表示“引導”、“傾向”，其餘用“向”。,曏者 嚮導 嚮往 嚮晦 方向 意向 向晚 向背 向來
伙,夥 伙,“伙”只用於“伙食”、“工具”相關意義，其餘用“夥”。,夥同 夥伴 小夥子 伙食 包伙 傢伙
范,範 范,“范”只用於姓氏，其餘用“範”。,范仲淹 範圍 典範
沈,瀋 沈,“瀋”意義爲“汁”，亦是河流名，“沈”作姓氏（讀作shen3時）。,瀋河 瀋陽 沈括
郁,鬱 郁,與“文采豐盛”、“濃烈”有關意義用“郁”，其餘用“鬱”。,馥郁 郁郁乎文哉 鬱結 憂鬱 鬱金香 鬱悶 鬱郁
姜,薑 姜,“姜”爲姓氏，“薑”爲一種植物調味料。,孟姜女 薑子牙 葱薑蒜 洋薑
朴,樸 朴,表示“原本的”意義用“樸”，其他音義用“朴”。,樸素 純樸 質樸 朴刀 朴姓 朴硝
才,才 纔,表示“方”、“僅”用“纔”，其餘用“才”。,才俊 才幹 才能 纔能 剛纔 方纔
朱,朱 硃,“硃”用於與“硃砂”有關意義，其餘用“朱”。,硃砂 近朱者赤
别,別 彆,“彆”讀音bie4，與“彆扭”有關，其餘用“別”。,區別 彆扭
卷,捲 卷,“捲”表示彎曲，讀音juan3，其餘用“卷”，讀音juan4。,席捲 捲土重來 花捲 試卷 卷帙 讀萬卷書
蒙,蒙 矇 濛 懞,表示“欺騙”、“猜測”、“盲”用“矇”，表示“細雨”用“濛”，表示“老實”用“懞”，其餘意義用“蒙”。,矇騙 矇蔽 矇混 濛濛細雨 涳濛 懞直 蒙受 蒙昧 啓蒙 蒙古
征,徵 征,與“召集”和“蹟象”有關用“徵”，與“遠征”、“討伐”有關用“征”。,征服 遠征 徵兵 徵收 徵兆 特徵 徵詢
症,症 癥,“癥”爲一種“腹中結硬塊的疾病”，讀音zheng1。一般病症用“症”，讀音zheng4。,絕症 癌症 對症下藥 癥結
恶,惡 噁,“噁心”用“噁”，其餘一般用“惡”。,善惡 噁心 二噁英
注,注 註,與“記錄”有關意義用“註”，其餘用“注”。,注意 注入 關注 註冊 註釋 命中註定
哄,哄 鬨,與“眾人喧鬧”有關用“鬨”，讀音hong4，其餘用“哄”。,哄騙 哄孩子 起鬨 一鬨而散
参,參 蔘,“蔘”表示一種植物，其餘用“參”。,參與 參數 內参 海参崴 人蔘 黃金蔘
腌,醃 腌,“腌”用於“腌臢”，表示一種食物加工方法用“醃”。,腌臢 醃漬 醃肉
