共产党员先进性教育	共產【黨】員先進性教育
高新技术产业开发区	高新技【術】產業開【發】區
食品药品监督管理局	食品【藥】品監督管理局
国家发展改革委员会	國家【發】展改革委員會
代表大会常务委员会	代【表】大會常務委員會
贯彻落实科学发展观	貫徹落實科學【發】展觀
国务院发展研究中心	國務院【發】展研究中心
保持共产党员先进性	保持共產【黨】員先進性
党的十一届三中全会	【黨】的十一屆三中全會
中国人民大学出版社	中國人民大學【出】版社
保持党员先进性教育	保持【黨】員先進性教育
国家药品监督管理局	國家【藥】品監督管理局
党员先进性教育活动	【黨】員先進性教育活動
全面落实科学发展观	全【面】落實科學【發】展觀
党的十六届五中全会	【黨】的十六屆五中全會
当你孤单你会想起谁	【當】你孤單你會想起誰
中国社会科学出版社	中國社會科學【出】版社
党风廉政建设责任制	【黨】風廉政建設責任【制】
林子大了什么鸟都有	林子大【了】什麼鳥都有
国家发展计划委员会	國家【發】展計【劃】委員會
国有土地使用权出让	國有土地使用權【出】讓
房地产开发有限公司	房地產開【發】有限公司
国家质量技术监督局	國家質量技【術】監督局
社会科学文献出版社	社會科學文獻【出】版社
建设工程规划许可证	建設工程規【劃】許可證
北京经济技术开发区	北京經濟技【術】開【發】區
第九届人民代表大会	第九屆人民代【表】大會
天津经济技术开发区	天津經濟技【術】開【發】區
中国注册会计师协会	中國【注】冊會計師協會
国家计划生育委员会	國家計【劃】生育委員會
家庭联产承包责任制	家庭聯產承包責任【制】
特别的爱给特别的你	特【別】的愛給特【別】的你
建设用地规划许可证	建設用地規【劃】許可證
进出口贸易有限公司	進【出】口貿易有限公司
爱上一个不回家的人	愛上一個不【回】家的人
博尔塔拉蒙古自治州	博爾塔拉【蒙】古自治州
计算机集成制造系统	計算機集成【制】造【係】統
巴音郭楞蒙古自治州	巴音郭楞【蒙】古自治州
中国建筑工程总公司	中國建【築】工程總公司
五一劳动奖章获得者	五一勞動獎章【獲】得者
代表资格审查委员会	代【表】資格審查委員會
中国出口商品交易会	中國【出】口商品交易會
成纤维细胞生长因子	成【纖】維細胞生長因子
