意见反馈留言板	意見反饋留言【板】
药品监督管理局	【藥】品監督管理局
高等教育出版社	高等教育【出】版社
清华大学出版社	清華大學【出】版社
中国经济发展的	中國經濟【發】展的
澳门特别行政区	澳門特【別】行政區
落实科学发展观	落實科學【發】展觀
质量技术监督局	質量技【術】監督局
机械工业出版社	機械工業【出】版社
房地产开发项目	房地產開【發】項目
计算机信息系统	計算機信息【係】統
有一种说不出的	有一【種】說不【出】的
党员先进性教育	【黨】員先進性教育
上海人民出版社	上海人民【出】版社
控制不住自己的	控【制】不住自己的
召开新闻发布会	召開新聞【發】【佈】會
进出口有限公司	進【出】口有限公司
社会主义制度的	社會主義【制】度的
房地产开发投资	房地產開【發】投資
电子工业出版社	電子工業【出】版社
的房地产开发商	的房地產開【發】商
土地使用权出让	土地使用權【出】讓
人民邮电出版社	人民郵電【出】版社
在新闻发布会上	在新聞【發】【佈】會上
比去年同期增长	比去年【同】期增長
房地产开发企业	房地產開【發】企業
北京大学出版社	北京大學【出】版社
发生了巨大变化	【發】生【了】巨大變化
新的历史条件下	新的【歷】史條件下
到底是怎么回事	到底是怎麼【回】事
忍不住笑了起来	忍不住笑【了】起來
全面协调可持续	全【面】協調可持續
人民教育出版社	人民教育【出】版社
什么都不记得了	什麼都不記得【了】
教育改革与发展	教育改革與【發】展
香港特别行政区	香港特【別】行政區
技术的飞速发展	技【術】的飛速【發】展
若干问题的意见	若【幹】問題的意見
胡锦涛总书记在	【胡】錦濤總書記在
文化的前进方向	文化的前進方【向】
充分发挥自己的	充分【發】揮自己的
科学发展观统领	科學【發】展觀統領
主要表现在以下	主要【表】現在以下
特别是领导干部	特【別】是領導【幹】部
解除劳动合同的	解除勞動合【同】的
科学发展观要求	科學【發】展觀要求
人民文学出版社	人民文學【出】版社
提供了强有力的	提供【了】強有力的
国家外汇管理局	國家外【匯】管理局
国家发展改革委	國家【發】展改革委
我找到了自己的	我找到【了】自己的
总书记的党中央	總書記的【黨】中央
注册会计师考试	【注】冊會計師考試
经济技术开发区	經濟技【術】開【發】區
提出了具体要求	提【出】【了】具體要求
与上年同期相比	與上年【同】期相比
高致病性禽流感	高【致】病性禽流感
发生了很大变化	【發】生【了】很大變化
到什么时候才能	到什麼時候【才】能
有一种说不出来	有一【種】說不【出】來
中国互联网发展	中國互聯網【發】展
起到了积极作用	起到【了】積極作用
发展计划委员会	【發】展計【劃】委員會
马克思列宁主义	馬【克】思列寧主義
国家统计局公布	國家統計局公【佈】
也没什么大不了	也沒什麼大不【了】
中国中央电视台	中國中央電視【臺】
全球中文论坛网	全球中文論【壇】網
与众不同的地方	與眾不【同】的地方
特别值得一提的	特【別】值得一提的
遇到困难的时候	遇到【困】難的時候
化学工业出版社	化學工業【出】版社
举行新闻发布会	舉行新聞【發】【佈】會
计算机网络技术	計算機網絡技【術】
马克思主义哲学	馬【克】思主義哲學
规划设计研究院	規【劃】設計研究院
中国共产党领导	中國共產【黨】領導
若干问题的解释	若【幹】問題的解釋
系列笔记本电脑	【係】列筆記本電腦
