国家发展和改革委员会	國家【發】展和改革委員會
别说我的眼泪你无所谓	【別】說我的眼淚你無所謂
社会主义市场经济体制	社會主義市場經濟體【制】
会计专业技术资格考试	會計專業技【術】資格考試
科学技术是第一生产力	科學技【術】是第一生產力
虫虫新女装漂亮才被抢	蟲蟲新女裝漂亮【才】被搶
中国疾病预防控制中心	中國疾病預防控【制】中心
案件适用法律若干问题	案件適用法律若【幹】問題
马克思主义政治经济学	馬【克】思主義政治經濟學
国务院台湾事务办公室	國務院【臺】灣事務辦公室
中国石油化工集团公司	中國石油化工集【團】公司
国家出入境检验检疫局	國家【出】入境檢驗檢疫局
工欲善其事必先利其器	工【欲】善其事必先利其器
与党中央保持高度一致	與【黨】中央保持高度一【致】
人口与计划生育委员会	人口與計【劃】生育委員會
中国纺织品进出口商会	中國紡織品進【出】口商會
中国第一汽车集团公司	中國第一汽車集【團】公司
北京市质量技术监督局	北京市質量技【術】監督局
香港特别行政区基本法	香港特【別】行政區基本法
中国国民党革命委员会	中國國民【黨】革命委員會
中国共产党中央委员会	中國共產【黨】中央委員會
中国文学艺术界联合会	中國文學藝【術】界聯合會
淡泊以明志宁静以致远	淡泊以明【志】寧靜以【致】遠
黔南布依族苗族自治州	黔南【佈】依族苗族自治州
海西蒙古族藏族自治州	海西【蒙】古族藏族自治州
第十五次全国代表大会	第十五次全國代【表】大會
澳门特别行政区基本法	澳門特【別】行政區基本法
国际贸易术语解释通则	國際貿易【術】語解釋通則
大连市经济技术开发区	大連市經濟技【術】開【發】區
中国国际信托投资公司	中國國際信【托】投資公司
世上无难事只怕有心人	世上無難事【只】怕有心人
三百六十行行行出状元	三百六十行行行【出】狀元
巴音郭楞蒙古族自治州	巴音郭楞【蒙】古族自治州
读书破万卷下笔如有神	讀書破【萬】【捲】下筆如有神
杜尔伯特蒙古族自治县	杜爾伯特【蒙】古族自治縣
万般皆下品唯有读书高	【萬】般皆下品唯有讀書高
外国人入境出境管理法	外國人入境【出】境管理法
镇宁布依族苗族自治县	鎮寧【佈】依族苗族自治縣
和布克赛尔蒙古自治县	和【佈】【克】賽爾【蒙】古自治縣
围场满族蒙古族自治县	圍場滿族【蒙】古族自治縣
前不见古人后不见来者	前不見古人【後】不見來者
朱门酒肉臭路有冻死骨	【朱】門酒肉臭路有凍死骨
台上一分钟台下十年功	【臺】上一分【鍾】【臺】下十年功
国家进出口商品检验局	國家進【出】口商品檢驗局
秀才遇到兵有理说不清	秀【才】遇到兵有理說不清
作为意志和表象的世界	作爲意【志】和【表】象的世界
联合国贸易与发展会议	聯合國貿易與【發】展會議
阿克塞哈萨克族自治县	阿【克】塞哈薩【克】族自治縣
法官职业道德基本准则	法官職業道德基本【準】則
天下无难事只怕有心人	天下無難事【只】怕有心人
退回公安机关补充侦查	退【回】公安機關補充偵查
只要功夫深铁杵磨成针	【只】要功夫深鐵杵磨成【針】
是骡子是马拉出来溜溜	是騾子是馬拉【出】來溜溜
关岭布依族苗族自治县	關嶺【佈】依族苗族自治縣
紫云苗族布依族自治县	紫【雲】苗族【佈】依族自治縣
只听楼梯响不见人下来	【只】聽樓梯響不見人下來
可擦可编程只读存储器	可擦可編程【只】讀存儲器
怒从心头起恶向胆边生	怒從心頭起【惡】【向】膽邊生
主要组织相容性复合体	主要組織相容性【復】合體
半喂入水稻联合收割机	半【餵】入水稻聯合收割機
