科技发展有限公司	科技【發】展有限公司
网络技术有限公司	網絡技【術】有限公司
有一种爱叫做放手	有一【種】愛叫做放手
保持共产党员先进	保持共產【黨】員先進
质量管理体系认证	質量管理體【係】認證
科技开发有限公司	科技開【發】有限公司
发展和改革委员会	【發】展和改革委員會
全面建设小康社会	全【面】建設小康社會
全国人民代表大会	全國人民代【表】大會
中国科学技术大学	中國科學技【術】大學
非公有制经济发展	非公有【制】經濟【發】展
到底是怎么一回事	到底是怎麼一【回】事
塑胶制品有限公司	塑膠【制】品有限公司
坚持以科学发展观	堅持以科學【發】展觀
上海浦东发展银行	上海浦東【發】展銀行
坏蛋是怎样炼成的	壞蛋是怎樣【煉】成的
机械制造有限公司	機械【制】造有限公司
出入境检验检疫局	【出】入境檢驗檢疫局
信息技术有限公司	信息技【術】有限公司
实业集团有限公司	實業集【團】有限公司
的房地产开发企业	的房地產開【發】企業
加强党的执政能力	加強【黨】的執政能力
党的执政能力建设	【黨】的執政能力建設
新疆生产建设兵团	新疆生產建設兵【團】
党的路线方针政策	【黨】的路線方【針】政策
控股集团有限公司	控股集【團】有限公司
师范高等专科学校	師【範】高等專科學校
中国国际广播电台	中國國際廣播電【臺】
立党为公执政为民	立【黨】爲公執政爲民
实业发展有限公司	實業【發】展有限公司
集团股份有限公司	集【團】股份有限公司
疾病预防控制中心	疾病預防控【制】中心
计算机科学与技术	計算機科學與技【術】
不知道说什么好了	不知道說什麼好【了】
中央人民广播电台	中央人民廣播電【臺】
技术发展有限公司	技【術】【發】展有限公司
发展股份有限公司	【發】展股份有限公司
集团有限责任公司	集【團】有限責任公司
国家中医药管理局	國家中醫【藥】管理局
软件技术有限公司	軟件技【術】有限公司
经济社会发展全局	經濟社會【發】展全局
建设集团有限公司	建設集【團】有限公司
推动经济社会发展	推動經濟社會【發】展
房地产开发企业的	房地產開【發】企業的
经济社会协调发展	經濟社會協調【發】展
为了解决这个问题	爲【了】解決這個問題
不知道该怎么回答	不知道該怎麼【回】答
科学发展观的要求	科學【發】展觀的要求
全面推进素质教育	全【面】推進素質教育
和计划生育委员会	和計【劃】生育委員會
比去年同期增长了	比去年【同】期增長【了】
我想你了我想你了	我想你【了】我想你【了】
市质量技术监督局	市質量技【術】監督局
贯彻胡锦涛总书记	貫徹【胡】錦濤總書記
专业技术资格考试	專業技【術】資格考試
学习胡锦涛总书记	學習【胡】錦濤總書記
交通职业技术学院	交通職業技【術】學院
我和僵尸有个约会	我和【僵】【屍】有個約會
统领经济社会发展	統領經濟社會【發】展
知道什么时候才能	知道什麼時候【才】能
中华民族伟大复兴	中華民族偉大【復】興
技术股份有限公司	技【術】股份有限公司
建立现代企业制度	建立現代企業【制】度
我不知道说什么了	我不知道說什麼【了】
信息职业技术学院	信息職業技【術】學院
质量技术监督部门	質量技【術】監督部門
全党全国各族人民	全【黨】全國各族人民
信托投资有限公司	信【托】投資有限公司
电子技术有限公司	電子技【術】有限公司
人民代表大会代表	人民代【表】大會代【表】
经济社会发展情况	經濟社會【發】展情況
突发公共卫生事件	突【發】公共衛生事件
土地利用总体规划	土地利用總體規【劃】
钢铁是怎样炼成的	鋼鐵是怎樣【煉】成的
药业股份有限公司	【藥】業股份有限公司
促进人的全面发展	促進人的全【面】【發】展
标准化技术委员会	標【準】化技【術】委員會
第一次见面的地方	第一次見【面】的地方
党政领导干部选拔	【黨】政領導【幹】部選拔
客户关系管理系统	客戶關【係】管理【係】統
落实科学发展观的	落實科學【發】展觀的
面朝大海春暖花开	【面】朝大海春暖花開
金属制品有限公司	金屬【制】品有限公司
国家新闻出版总署	國家新聞【出】版總署
工程技术研究中心	工程技【術】研究中心
城乡经济社会发展	城鄉經濟社會【發】展
铁道部新闻发言人	鐵道部新聞【發】言人
好好学习天天向上	好好學習天天【向】上
发展有限责任公司	【發】展有限責任公司
战略合作伙伴关系	戰略合作【夥】伴關【係】
食品药品监督管理	食品【藥】品監督管理
睁一只眼闭一只眼	睜一【只】眼閉一【只】眼
国家统计局公布的	國家統計局公【佈】的
收入分配制度改革	收入分配【制】度改革
社会的可持续发展	社會的可持續【發】展
是落实科学发展观	是落實科學【發】展觀
胡锦涛总书记重要	【胡】錦濤總書記重要
网络发展有限公司	網絡【發】展有限公司
几乎可以忽略不计	【幾】乎可以忽略不計
发电有限责任公司	【發】電有限責任公司
投资发展有限公司	投資【發】展有限公司
届奥林匹克运动会	屆奧林匹【克】運動會
开发有限责任公司	開【發】有限責任公司
清华大学美术学院	清華大學美【術】學院
干部人事制度改革	【幹】部人事【制】度改革
落实胡锦涛总书记	落實【胡】錦濤總書記
科技发展有限责任	科技【發】展有限責任
完善社会保障体系	完善社會保障體【係】
胡锦涛总书记提出	【胡】錦濤總書記提【出】
标准化管理委员会	標【準】化管理委員會
人与自然和谐发展	人與自然和諧【發】展
适用法律若干问题	適用法律若【幹】問題
你怎么舍得我难过	你怎麼【舍】得我難過
塑料制品有限公司	塑料【制】品有限公司
食品药品监管工作	食品【藥】品監管工作
一千个伤心的理由	一【千】個傷心的理由
根据最高人民法院	根【據】最高人民法院
技术开发有限公司	技【術】開【發】有限公司
大力发展职业教育	大力【發】展職業教育
社会保障体系建设	社會保障體【係】建設
领导干部廉洁自律	領導【幹】部廉潔自律
发生了很大的变化	【發】生【了】很大的變化
那你什么时候回来	那你什麼時候【回】來
大力发展循环经济	大力【發】展循環經濟
伊犁哈萨克自治州	伊犁哈薩【克】自治州
不尽如人意的地方	不【盡】如人意的地方
中国农业发展银行	中國農業【發】展銀行
在全国范围内开展	在全國【範】圍內開展
面向对象程序设计	【面】【向】對象程序設計
中国网络游戏市场	中國網絡【遊】戲市場
淘汰落后生产能力	淘汰落【後】生產能力
中国优秀旅游城市	中國優秀旅【遊】城市
一人之下万人之上	一人之下【萬】人之上
人力资源管理系统	人力資源管理【係】統
人民代表大会制度	人民代【表】大會【制】度
你怎么又不说话了	你怎麼又不說話【了】
发展中国家领导人	【發】展中國家領導人
投资集团有限公司	投資集【團】有限公司
比去年同期下降了	比去年【同】期下降【了】
三大纪律八项注意	三大紀律八項【注】意
制药有限公司生产	【制】【藥】有限公司生產
我国经济社会发展	我國經濟社會【發】展
企业发展有限公司	企業【發】展有限公司
房地产市场的发展	房地產市場的【發】展
血小板减少性紫癜	血小【板】減少性紫癜
社会主义法制建设	社會主義法【制】建設
坚持党的基本路线	堅持【黨】的基本路線
食品药品监管部门	食品【藥】品監管部門
药业有限公司生产	【藥】業有限公司生產
中国科学技术协会	中國科學技【術】協會
等党和国家领导人	等【黨】和國家領導人
建筑工程有限公司	建【築】工程有限公司
最大的发展中国家	最大的【發】展中國家
经济社会发展中的	經濟社會【發】展中的
深化文化体制改革	深化文化體【制】改革
联合国开发计划署	聯合國開【發】計【劃】署
中共中央关于制定	中共中央關於【制】定
参加基本养老保险	【參】加基本養老保險
接受记者采访时称	接受記者【採】訪時稱
中国经济社会发展	中國經濟社會【發】展
文化发展有限公司	文化【發】展有限公司
接受记者采访时说	接受記者【採】訪時說
中国航天科技集团	中國航天科技集【團】
和落实科学发展观	和落實科學【發】展觀
可以根据实际情况	可以根【據】實際情況
医疗卫生体制改革	醫療衛生體【制】改革
密克罗尼西亚联邦	密【克】羅尼西亞聯邦
最低生活保障制度	最低生活保障【制】度
一分耕耘一分收获	一分耕耘一分收【獲】
发展中国家的发展	【發】展中國家的【發】展
善有善报恶有恶报	善有善報【惡】有【惡】報
读万卷书行万里路	讀【萬】【捲】書行【萬】【里】路
走自己的路让别人	走自己的路讓【別】人
疾病预防控制机构	疾病預防控【制】機構
西部大开发战略的	西部大開【發】戰略的
不知道该怎么面对	不知道該怎麼【面】對
我不知道怎么回事	我不知道怎麼【回】事
工业职业技术学院	工業職業技【術】學院
国家历史文化名城	國家【歷】史文化名城
人与人之间的关系	人與人之間的關【係】
经济的可持续发展	經濟的可持續【發】展
国务院办公厅转发	國務院辦公廳轉【發】
促进区域协调发展	促進區域協調【發】展
华为技术有限公司	華爲技【術】有限公司
客户关系管理软件	客戶關【係】管理軟件
也不知道怎么回事	也不知道怎麼【回】事
一个新的发展阶段	一個新的【發】展階段
国务院法制办公室	國務院法【制】辦公室
当地最低工资标准	【當】地最低工資標【準】
自治区党委副书记	自治區【黨】委副書記
十届全国人大代表	十屆全國人大代【表】
房地产业健康发展	房地產業健康【發】展
北京人民广播电台	北京人民廣播電【臺】
贸易发展有限公司	貿易【發】展有限公司
促进非公有制经济	促進非公有【制】經濟
克孜勒苏柯尔克孜	【克】孜勒【蘇】柯爾【克】孜
什么时候回来的啊	什麼時候【回】來的啊
法律面前人人平等	法律【面】前人人平等
香港特别行政区的	香港特【別】行政區的
也不知道是怎么了	也不知道是怎麼【了】
突发事件应急预案	突【發】事件應急預案
提高存款准备金率	提高存款【準】備金率
心急吃不了热豆腐	心急吃不【了】熱豆腐
总书记胡锦涛主持	總書記【胡】錦濤主持
高技术产业开发区	高技【術】產業開【發】區
家庭经济困难学生	家庭經濟【困】難學生
我也不知道怎么了	我也不知道怎麼【了】
知道自己是怎么了	知道自己是怎麼【了】
主营业务收入同比	主營業務收入【同】比
外面的世界很精彩	外【面】的世界很精【彩】
国家发改委副主任	國家【發】改委副主任
在全省范围内开展	在全省【範】圍內開展
国家旅游局副局长	國家旅【遊】局副局長
马克思主义中国化	馬【克】思主義中國化
中国电信集团公司	中國電信集【團】公司
天津滨海新区开发	天津濱海新區開【發】
我不知道怎么说了	我不知道怎麼說【了】
己所不欲勿施于人	己所不【欲】勿施於人
从此以后再也没有	從此以【後】再也沒有
只是不知道为什么	【只】是不知道爲什麼
你怎么不说话了呢	你怎麼不說話【了】呢
体育彩票管理中心	體育【彩】票管理中心
小泉参拜靖国神社	小泉【參】拜靖國神社
控制固定资产投资	控【制】固定資產投資
我只是一个普通的	我【只】是一個普通的
取之不尽用之不竭	取之不【盡】用之不竭
非公有制经济人士	非公有【制】經濟人士
一人得道鸡犬升天	一人得道雞犬【升】天
怎么又不说话了啊	怎麼又不說話【了】啊
美国前总统克林顿	美國前總統【克】林頓
突然出现在我面前	突然【出】現在我【面】前
火灾自动报警系统	火災自動報警【係】統
他在接受记者采访	他在接受記者【採】訪
创造了一个又一个	創造【了】一個又一個
没有什么大不了的	沒有什麼大不【了】的
个人党性分析材料	個人【黨】性分析材料
在美国佛罗里达州	在美國佛羅【里】達州
和香港特别行政区	和香港特【別】行政區
男女搭配干活不累	男女搭配【幹】活不纍
路边的野花不要采	路邊的野花不要【採】
你怎么不说话了啊	你怎麼不說話【了】啊
了全国人大常委会	【了】全國人大常委會
君子报仇十年不晚	君子報【仇】十年不晚
引导非公有制经济	引導非公有【制】經濟
小时最低工资标准	小時最低工資標【準】
千里之行始于足下	【千】【里】之行始於足下
集团公司副总经理	集【團】公司副總經理
全球卫星定位系统	全球衛星定位【係】統
鞠躬尽瘁死而后已	鞠躬【盡】瘁死而【後】已
当我再爱你的时候	【當】我再愛你的時候
国家统计局的数据	國家統計局的數【據】
中国移动通信集团	中國移動通信集【團】
具有特别重要意义	具有特【別】重要意義
这个世界上最幸福	這個世界上最【幸】福
直到现在我才知道	直到現在我【才】知道
中央工艺美术学院	中央工藝美【術】學院
当局者迷旁观者清	【當】局者迷旁觀者清
亲民党主席宋楚瑜	親民【黨】主席宋楚瑜
你现在在干什么呢	你現在在【幹】什麼呢
中国外汇交易中心	中國外【匯】交易中心
习惯了一个人生活	習慣【了】一個人生活
国际信托投资公司	國際信【托】投資公司
点击查看更多精彩	點擊查看更多精【彩】
突然出现在他面前	突然【出】現在他【面】前
中国外交部发言人	中國外交部【發】言人
胡锦涛总书记关于	【胡】錦濤總書記關於
萝卜白菜各有所爱	蘿【卜】白菜各有所愛
到底什么时候才能	到底什麼時候【才】能
青少年发展基金会	青少年【發】展基金會
商务部新闻发言人	商務部新聞【發】言人
只要你过得比我好	【只】要你過得比我好
增强共青团员意识	增強共青【團】員意識
更加注重社会公平	更加【注】重社會公平
大学本科以上学历	大學本科以上學【歷】
今天不知道怎么了	今天不知道怎麼【了】
两岸关系和平发展	兩岸關【係】和平【發】展
千方百计扩大就业	【千】方百計擴大就業
前无古人后无来者	前無古人【後】無來者
个性签名个性签名	個性【籖】名個性【籖】名
哈萨克斯坦共和国	哈薩【克】斯坦共和國
国民党革命委员会	國民【黨】革命委員會
国家质检总局公布	國家質檢總局公【佈】
发展研究中心主任	【發】展研究中心主任
奥林匹克体育中心	奧林匹【克】體育中心
新长征路上的摇滚	新長【徵】路上的搖滾
举行了新闻发布会	舉行【了】新聞【發】【佈】會
风中有朵雨做的云	風中有朵雨做的【雲】
东方早报记者采访	東方早報記者【採】訪
近朱者赤近墨者黑	近【朱】者赤近墨者黑
共产党中央委员会	共產【黨】中央委員會
只不过是从头再来	【只】不過是從頭再來
明修栈道暗渡陈仓	明修棧道【暗】渡陳倉
同年同月同日生的	【同】年【同】月【同】日生的
日复一日年复一年	日【復】一日年【復】一年
也不知道为了什么	也不知道爲【了】什麼
大事化小小事化了	大事化小小事化【了】
生物药业有限公司	生物【藥】業有限公司
萝卜青菜各有所爱	蘿【卜】青菜各有所愛
中国十大杰出青年	中國十大【傑】【出】青年
这个世界上消失了	這個世界上消失【了】
